Year,Salary Cap (2015 USD)
1984,"$7,934,034 "
1985,"$9,153,509 "
1986,"$10,317,292 "
1987,"$12,354,015 "
1988,"$13,829,137 "
1989,"$17,783,913 "
1990,"$20,658,962 "
1991,"$21,113,943 "
1992,"$22,972,126 "
1993,"$24,268,416 "
1994,"$24,833,276 "
1995,"$34,761,086 "
1996,"$35,973,807 "
1997,"$39,119,783 "
1998,"$42,686,775 "
1999,"$46,798,454 "
2000,"$47,522,364 "
2001,"$56,008,788 "
2002,"$51,890,436 "
2003,"$55,016,264 "
2004,"$53,243,484 "
2005,"$58,202,129 "
2006,"$60,741,551 "
2007,"$61,244,588 "
2008,"$64,832,889 "
2009,"$62,718,922 "
2010,"$61,160,859 "
2011,"$59,928,600 "
2012,"$59,063,916 "
2013,"$58,753,235 "
2014,"$63,065,000 "
2015,"$69,126,577 "
2016,"$91,334,866 "
,